Student_ID,Major_Category,Year_of_Study,Pre_Semester_GPA,Primary_Use_Case,Prompt_Engineering_Skill,Tool_Diversity,Paid_Subscription,Perceived_AI_Dependency,Institutional_Policy,Anxiety_Level_During_Exams,Post_Semester_GPA,Skill_Retention_Score,Burnout_Risk_Level,GPA_Change_Over_Semester,Percentage_Of_AI_Usage,Weekly_Study_Hours
100073,STEM,Graduate,3.251,Debugging/Troubleshooting,Advanced,3,FALSE,3,Actively_Encouraged,5,3.687,80.79,Low,-0.436,0.609,16.36
100074,Arts,Freshman,2.579,Ideation,Advanced,3,FALSE,4,Allowed_With_Citation,3,2.962,63.96,Low,-0.383,0.383,22.79
100075,Business,Freshman,2.919,Direct_Answer_Generation,Beginner,1,FALSE,5,Allowed_With_Citation,3,3.389,58.03,Low,-0.47,0.097,21.37
100076,Business,Junior,2.023,Copywriting/Drafting,Beginner,2,FALSE,2,Allowed_With_Citation,5,2.468,72.32,Medium,-0.445,0.281,19.2
100077,Arts,Freshman,2.494,Copywriting/Drafting,Beginner,3,FALSE,1,Allowed_With_Citation,7,2.393,78.1,Low,0.101,0.54,13.5
100078,STEM,Freshman,3.631,Debugging/Troubleshooting,Advanced,4,TRUE,1,Allowed_With_Citation,2,3.969,85.55,Low,-0.338,0.073,12.29
100079,Humanities,Graduate,2.659,Copywriting/Drafting,Intermediate,2,FALSE,1,Allowed_With_Citation,8,3.21,77.88,High,-0.551,0.352,25.14
100080,STEM,Graduate,2.862,Summarizing_Reading,Beginner,3,TRUE,2,Allowed_With_Citation,1,3.293,76.51,Medium,-0.431,0.254,19.71
100081,Arts,Senior,3.274,Copywriting/Drafting,Beginner,2,TRUE,2,Allowed_With_Citation,1,3.195,69.29,Low,0.079,0.587,4.75
100082,Business,Junior,3.332,Direct_Answer_Generation,Beginner,2,FALSE,4,Strict_Ban,2,3.421,64.26,Low,-0.089,0.397,21.46
100083,Humanities,Graduate,3.221,Summarizing_Reading,Beginner,1,FALSE,4,Actively_Encouraged,4,3.418,75.13,Medium,-0.197,0.761,18.35
100084,STEM,Freshman,3.414,Debugging/Troubleshooting,Intermediate,4,FALSE,2,Allowed_With_Citation,2,3.691,73.6,Medium,-0.277,0.171,21.64
100085,Humanities,Graduate,2.132,Direct_Answer_Generation,Advanced,4,FALSE,4,Actively_Encouraged,3,2.354,65.13,Low,-0.222,0.399,20.5
100086,Humanities,Sophomore,3.106,Debugging/Troubleshooting,Intermediate,3,FALSE,3,Strict_Ban,3,3.334,81.48,Medium,-0.228,0.303,27.14
100087,Business,Graduate,3.033,Ideation,Intermediate,5,TRUE,2,Strict_Ban,5,3.216,93.82,High,-0.183,0.774,12.46
100088,Business,Senior,2.549,Ideation,Beginner,2,TRUE,6,Allowed_With_Citation,5,2.855,59.64,Medium,-0.306,0.541,24.4
100089,Medical,Graduate,3.367,Summarizing_Reading,Beginner,3,TRUE,1,Actively_Encouraged,2,3.389,79.27,High,-0.022,0.72,9.04
100090,Humanities,Graduate,3.544,Debugging/Troubleshooting,Beginner,2,FALSE,6,Actively_Encouraged,1,3.795,68.8,High,-0.251,0.797,42.67
100091,STEM,Graduate,2.291,Debugging/Troubleshooting,Intermediate,5,FALSE,3,Actively_Encouraged,6,2.75,55.09,Medium,-0.459,0.354,22.37
100092,Business,Junior,2.592,Copywriting/Drafting,Intermediate,5,TRUE,3,Strict_Ban,2,3.139,65.99,High,-0.547,0.412,14.26
100093,Arts,Senior,2.561,Debugging/Troubleshooting,Intermediate,5,FALSE,3,Allowed_With_Citation,1,2.887,68.77,Low,-0.326,0.011,15.02
100094,Business,Senior,2.778,Direct_Answer_Generation,Intermediate,2,TRUE,7,Actively_Encouraged,8,3.17,74.32,Medium,-0.392,0.566,22.83
100095,Arts,Freshman,3.099,Summarizing_Reading,Beginner,2,TRUE,3,Allowed_With_Citation,4,3.378,76.16,Medium,-0.279,0.625,34.1
100096,Humanities,Senior,3.773,Copywriting/Drafting,Beginner,1,FALSE,1,Allowed_With_Citation,3,3.873,59.56,High,-0.1,0.306,17.02
100097,Business,Freshman,2.907,Direct_Answer_Generation,Intermediate,2,FALSE,2,Actively_Encouraged,5,2.993,71.8,Medium,-0.086,0.283,11.72
100098,Humanities,Graduate,2.292,Copywriting/Drafting,Beginner,2,FALSE,2,Allowed_With_Citation,3,2.918,66.73,Medium,-0.626,0.248,12.16
100099,STEM,Freshman,2.016,Debugging/Troubleshooting,Advanced,5,TRUE,6,Allowed_With_Citation,4,2.473,55.74,Medium,-0.457,0.836,34.35
100100,STEM,Graduate,2.661,Direct_Answer_Generation,Advanced,3,FALSE,6,Allowed_With_Citation,2,2.754,98.76,High,-0.093,0.506,22.34
100101,STEM,Sophomore,3.612,Debugging/Troubleshooting,Intermediate,3,TRUE,7,Allowed_With_Citation,6,3.715,62.3,High,-0.103,0.712,36.29
100102,Business,Freshman,2.038,Debugging/Troubleshooting,Intermediate,3,TRUE,6,Strict_Ban,4,1.942,55.12,Medium,0.096,0.401,22.17
100103,Humanities,Graduate,3.786,Copywriting/Drafting,Beginner,2,TRUE,5,Allowed_With_Citation,2,4,56.37,Medium,-0.214,0.245,13.53
100104,Business,Freshman,3.204,Debugging/Troubleshooting,Intermediate,2,FALSE,2,Allowed_With_Citation,4,3.348,85.52,Low,-0.144,0.257,18.55
100105,Medical,Junior,2.076,Copywriting/Drafting,Intermediate,2,TRUE,2,Actively_Encouraged,2,2.307,63.93,Medium,-0.231,0.299,19.15
100106,STEM,Senior,2.972,Debugging/Troubleshooting,Intermediate,3,TRUE,3,Allowed_With_Citation,1,3.234,87.33,Medium,-0.262,0.52,18.46
100107,Humanities,Sophomore,2.728,Copywriting/Drafting,Advanced,3,TRUE,2,Strict_Ban,1,2.869,84.71,Low,-0.141,0.393,16.19
100108,Arts,Junior,2.133,Direct_Answer_Generation,Beginner,1,FALSE,2,Strict_Ban,4,2.468,72.83,Low,-0.335,0.271,15.99
100109,STEM,Senior,2.926,Copywriting/Drafting,Intermediate,4,FALSE,3,Allowed_With_Citation,1,3.321,94.36,Low,-0.395,0.021,20.28
100110,STEM,Graduate,2.379,Ideation,Advanced,4,FALSE,4,Allowed_With_Citation,2,3.09,96.15,Low,-0.711,0.32,32.12
100111,STEM,Freshman,3.866,Debugging/Troubleshooting,Beginner,1,FALSE,2,Strict_Ban,4,4,53.65,Low,-0.134,0.561,13.43
100112,STEM,Freshman,3.203,Ideation,Beginner,3,TRUE,6,Allowed_With_Citation,6,3.257,82.36,Medium,-0.054,0.528,22.82
100113,Medical,Junior,3.501,Ideation,Intermediate,2,FALSE,5,Allowed_With_Citation,3,3.839,85.42,Low,-0.338,0.474,20.78
100114,Arts,Sophomore,3.151,Copywriting/Drafting,Beginner,1,TRUE,4,Allowed_With_Citation,1,3.176,66.09,Low,-0.025,0.247,11.56
100115,Business,Sophomore,3.784,Ideation,Advanced,5,FALSE,1,Allowed_With_Citation,3,4,83.06,Low,-0.216,0.131,19.98
100116,Medical,Sophomore,3.242,Ideation,Beginner,3,FALSE,2,Allowed_With_Citation,3,3.705,78.83,Medium,-0.463,0.132,9.45
100117,Arts,Junior,2.845,Summarizing_Reading,Advanced,3,TRUE,3,Actively_Encouraged,4,3.213,61.45,Low,-0.368,0.29,18.81
100118,STEM,Graduate,3.915,Debugging/Troubleshooting,Intermediate,2,FALSE,1,Strict_Ban,6,4,62.09,Low,-0.085,0.048,15.07
100119,Medical,Freshman,2.67,Summarizing_Reading,Beginner,2,FALSE,7,Allowed_With_Citation,5,2.602,62.97,Medium,0.068,0.879,31.75
100120,Business,Freshman,2.074,Ideation,Advanced,5,TRUE,1,Allowed_With_Citation,3,2.217,69.58,Low,-0.143,0.059,15.19
100121,Arts,Senior,1.845,Ideation,Intermediate,4,FALSE,3,Allowed_With_Citation,2,2.293,63.51,Medium,-0.448,0.209,17.13
100122,Medical,Freshman,3.667,Direct_Answer_Generation,Beginner,2,FALSE,4,Actively_Encouraged,9,3.99,69.49,Low,-0.323,0.027,18.66
100123,Humanities,Senior,3.684,Copywriting/Drafting,Beginner,1,FALSE,4,Allowed_With_Citation,4,4,88.85,Medium,-0.316,0.542,34.11
100124,STEM,Sophomore,3.856,Ideation,Advanced,3,TRUE,5,Actively_Encouraged,6,4,93.35,Medium,-0.144,0.315,10.04
100125,STEM,Sophomore,3.446,Summarizing_Reading,Intermediate,4,FALSE,10,Actively_Encouraged,2,3.441,76.67,High,0.005,0.843,47.47
100126,Humanities,Sophomore,3.086,Debugging/Troubleshooting,Beginner,2,FALSE,7,Actively_Encouraged,8,3.137,86.56,Medium,-0.051,0.697,25.91
100127,Arts,Sophomore,2.461,Direct_Answer_Generation,Intermediate,2,FALSE,4,Allowed_With_Citation,2,2.574,96.82,Low,-0.113,0.32,16.88
100128,Arts,Senior,3.887,Ideation,Beginner,2,TRUE,7,Strict_Ban,9,4,76.58,Medium,-0.113,0.57,41.43
100129,STEM,Graduate,3.092,Debugging/Troubleshooting,Intermediate,4,FALSE,3,Allowed_With_Citation,3,3.456,63.1,Medium,-0.364,0.228,17.25
100130,Business,Junior,3.537,Ideation,Intermediate,2,FALSE,2,Actively_Encouraged,1,3.576,96.33,Low,-0.039,0.36,22.75
100131,Humanities,Junior,3.138,Copywriting/Drafting,Beginner,2,FALSE,1,Allowed_With_Citation,6,3.146,48.73,Low,-0.008,0.119,13.56
100132,STEM,Freshman,3.505,Ideation,Advanced,3,TRUE,5,Allowed_With_Citation,4,4,84.53,Low,-0.495,0.723,28.71
100133,STEM,Senior,3.724,Debugging/Troubleshooting,Beginner,3,FALSE,5,Actively_Encouraged,5,3.897,73.28,Medium,-0.173,0.421,23.04
100134,Humanities,Junior,3.416,Direct_Answer_Generation,Advanced,3,FALSE,6,Allowed_With_Citation,1,3.717,67.16,High,-0.301,0.604,27.78
100135,Medical,Freshman,2.398,Summarizing_Reading,Beginner,2,FALSE,3,Allowed_With_Citation,7,2.57,67.06,Low,-0.172,0.41,16.98
100136,Humanities,Freshman,2.686,Debugging/Troubleshooting,Beginner,1,TRUE,3,Actively_Encouraged,7,2.785,56.59,Medium,-0.099,0.436,14.66
100137,Business,Freshman,3.164,Debugging/Troubleshooting,Beginner,3,TRUE,8,Allowed_With_Citation,3,3.49,77.45,Medium,-0.326,0.467,23.81
100138,Business,Freshman,2.767,Ideation,Advanced,4,TRUE,4,Strict_Ban,2,3.137,82.77,Medium,-0.37,0.022,20.11
100139,Humanities,Senior,3.706,Direct_Answer_Generation,Intermediate,1,TRUE,1,Allowed_With_Citation,3,3.881,59.74,Medium,-0.175,0.437,9.56
100140,Medical,Graduate,3.393,Ideation,Beginner,2,FALSE,3,Allowed_With_Citation,2,3.384,64.37,Low,0.009,0.169,11.22
100141,Medical,Senior,2.443,Ideation,Beginner,2,FALSE,4,Allowed_With_Citation,7,2.674,79.7,High,-0.231,0.914,22.64
100142,STEM,Junior,2.407,Debugging/Troubleshooting,Advanced,4,TRUE,4,Allowed_With_Citation,4,2.794,69.1,High,-0.387,0.709,35.54
100143,Humanities,Sophomore,3.43,Copywriting/Drafting,Advanced,4,TRUE,4,Actively_Encouraged,1,3.641,78.81,Medium,-0.211,0.383,27.09
100144,Humanities,Sophomore,3.668,Summarizing_Reading,Beginner,3,FALSE,5,Allowed_With_Citation,7,3.645,76.77,High,0.023,0.706,23.53
100145,STEM,Junior,3.691,Summarizing_Reading,Intermediate,1,TRUE,6,Allowed_With_Citation,9,3.877,72.99,Low,-0.186,0.957,23.04
100146,STEM,Sophomore,2.425,Ideation,Advanced,3,FALSE,5,Actively_Encouraged,4,2.992,90.32,High,-0.567,0.327,28.02
100147,Business,Sophomore,3.087,Ideation,Intermediate,1,FALSE,5,Allowed_With_Citation,4,3.103,79.98,High,-0.016,0.962,26.66
100148,Business,Junior,2.107,Ideation,Beginner,2,TRUE,1,Actively_Encouraged,1,2.313,76.11,Low,-0.206,0.496,12.19
100149,STEM,Sophomore,3.221,Debugging/Troubleshooting,Beginner,3,TRUE,6,Allowed_With_Citation,5,3.347,57.02,High,-0.126,0.898,44.54
100150,STEM,Freshman,3.641,Debugging/Troubleshooting,Advanced,4,TRUE,8,Actively_Encouraged,6,3.84,51.53,High,-0.199,0.819,42.95
100151,Medical,Freshman,3.85,Copywriting/Drafting,Beginner,1,FALSE,6,Actively_Encouraged,6,4,100,Medium,-0.15,0.553,36.91
100152,STEM,Sophomore,2.784,Copywriting/Drafting,Intermediate,5,TRUE,4,Allowed_With_Citation,3,3.092,82.92,Low,-0.308,0.203,21.83
100153,STEM,Junior,2.871,Summarizing_Reading,Advanced,4,FALSE,1,Allowed_With_Citation,4,2.848,85.82,Medium,0.023,0.286,14.44
100154,Humanities,Sophomore,3.518,Ideation,Intermediate,3,TRUE,1,Allowed_With_Citation,3,3.728,88.31,Low,-0.21,0.179,22.43
100155,Medical,Freshman,3.661,Summarizing_Reading,Intermediate,3,FALSE,3,Strict_Ban,2,3.851,48.59,Medium,-0.19,0.16,9.52
100156,STEM,Sophomore,3.441,Copywriting/Drafting,Advanced,3,FALSE,3,Actively_Encouraged,4,3.745,72.69,Medium,-0.304,0.063,21.53
100157,Business,Freshman,2.323,Summarizing_Reading,Beginner,3,FALSE,6,Allowed_With_Citation,7,2.537,73.34,High,-0.214,0.486,19.98
100158,Arts,Graduate,3.033,Copywriting/Drafting,Beginner,3,TRUE,5,Actively_Encouraged,5,3.487,71.38,High,-0.454,0.369,10.46
100159,STEM,Sophomore,2.148,Direct_Answer_Generation,Beginner,2,TRUE,4,Strict_Ban,4,2.536,81.38,High,-0.388,0.6,17.01
100160,Business,Freshman,3.491,Ideation,Intermediate,3,TRUE,4,Actively_Encouraged,9,3.739,77.34,Medium,-0.248,0.18,16.25
100161,Humanities,Senior,3.564,Copywriting/Drafting,Beginner,3,FALSE,1,Actively_Encouraged,5,4,66.33,Low,-0.436,0.116,23.81
100162,Business,Sophomore,3.518,Summarizing_Reading,Beginner,2,FALSE,5,Strict_Ban,5,3.553,76.08,Low,-0.035,0.567,16.73
100163,Business,Junior,3.34,Debugging/Troubleshooting,Beginner,1,FALSE,3,Allowed_With_Citation,2,3.728,81.7,High,-0.388,0.122,21.47
100164,Business,Freshman,3.565,Ideation,Intermediate,2,FALSE,4,Allowed_With_Citation,5,3.905,80.89,Low,-0.34,0.085,16.54
100165,STEM,Graduate,2.309,Debugging/Troubleshooting,Beginner,3,TRUE,6,Allowed_With_Citation,5,2.606,70.82,High,-0.297,0.692,39.38
100166,Arts,Graduate,3.365,Ideation,Beginner,2,FALSE,3,Actively_Encouraged,5,3.286,66.16,High,0.079,0.549,17.61
100167,Humanities,Senior,3.257,Summarizing_Reading,Beginner,1,FALSE,1,Strict_Ban,2,3.809,81.93,High,-0.552,0.066,17.97
100168,STEM,Senior,2.258,Debugging/Troubleshooting,Intermediate,1,FALSE,3,Allowed_With_Citation,1,2.326,82.16,Low,-0.068,0.293,9.12
100169,STEM,Junior,2.086,Debugging/Troubleshooting,Intermediate,2,FALSE,2,Strict_Ban,5,2.38,51.4,Medium,-0.294,0.458,9.42
100170,Business,Graduate,2.331,Summarizing_Reading,Intermediate,2,TRUE,3,Strict_Ban,4,2.493,83.54,High,-0.162,0.335,16.54
100171,Business,Junior,1.737,Ideation,Advanced,4,TRUE,5,Allowed_With_Citation,5,2.001,82.74,Low,-0.264,0.048,16.29
100172,STEM,Sophomore,3.3,Ideation,Intermediate,1,FALSE,4,Allowed_With_Citation,7,3.386,80.69,Medium,-0.086,0.214,11.85
100173,Business,Freshman,2.624,Summarizing_Reading,Advanced,3,FALSE,3,Allowed_With_Citation,7,2.737,71.53,Medium,-0.113,0.01,10.67
100174,STEM,Freshman,3.478,Copywriting/Drafting,Beginner,2,FALSE,3,Allowed_With_Citation,6,3.476,41.99,Low,0.002,0.89,11.03
100175,Business,Junior,2.121,Direct_Answer_Generation,Intermediate,2,FALSE,6,Actively_Encouraged,3,2.264,65.19,Medium,-0.143,0.508,29.49
100176,STEM,Sophomore,3.174,Debugging/Troubleshooting,Beginner,2,FALSE,5,Actively_Encouraged,8,3.084,69.25,High,0.09,0.102,20.92
100177,Business,Senior,3.349,Ideation,Advanced,4,FALSE,6,Allowed_With_Citation,5,3.457,87.34,High,-0.108,0.727,24.93
100178,Humanities,Sophomore,2.576,Summarizing_Reading,Beginner,3,TRUE,3,Allowed_With_Citation,4,2.835,73.45,Low,-0.259,0.16,21.62
